asset_path,filename,dimensions,bytes,source_zip,source_filename,note,status
assets/route_start_ren.jpg,route_start_ren.jpg,1672x941,334900,Route Starts.zip,528E25DD-0B3F-4303-B89B-5B274D5141F7.PNG,Ren route start / doctor hallway,mapped
assets/route_start_harrison.jpg,route_start_harrison.jpg,1672x941,464359,Route Starts.zip,6BEF62ED-7B54-413F-9EE4-5370BE9F142F.PNG,Harrison route start,mapped
assets/route_start_kenji.jpg,route_start_kenji.jpg,1672x941,329791,Route Starts.zip,7ED30687-FF4F-4695-88FE-6BA6E69F652E.PNG,Kenji route start,mapped
assets/route_start_tommy.jpg,route_start_tommy.jpg,1672x941,473229,Route Starts.zip,B90CBCE3-4134-4E3E-92F3-8794029E5334.PNG,Tommy route start / Osaka Castle,mapped
assets/route_start_hiroshi.jpg,route_start_hiroshi.jpg,1672x941,618029,Route Starts.zip,D00879FA-A7A2-48F3-A434-9C1DC9ECA34E.PNG,Hiroshi route start,mapped
assets/route_start_marcus.jpg,route_start_marcus.jpg,1672x941,335652,Route Starts.zip,D1F0BC3D-9890-4311-BA16-1B49470D21C5.PNG,Marcus route start,mapped
assets/ren_doctor_hallway.jpg,ren_doctor_hallway.jpg,1672x941,334900,Route Starts.zip,528E25DD-0B3F-4303-B89B-5B274D5141F7.PNG,Ren doctor hallway replacement used for Ren intro/date portrait,mapped
assets/ren_motorcycle_pickup_kyoto.jpg,ren_motorcycle_pickup_kyoto.jpg,1672x941,568185,Ren Route.zip,259C29F2-BAC3-4A55-B539-B32C76D697B4.PNG,Ren motorcycle pickup,mapped
assets/ren_after_tommy_fight_motorcycle.jpg,ren_after_tommy_fight_motorcycle.jpg,1672x941,510800,Ren Route.zip,AE93FCAD-5BB0-43AD-A2DD-CD8A95028918.PNG,Ren after Tommy station motorcycle,mapped
assets/ren_motorcycle_after_tommy_station.jpg,ren_motorcycle_after_tommy_station.jpg,1672x941,510800,Ren Route.zip,AE93FCAD-5BB0-43AD-A2DD-CD8A95028918.PNG,Ren motorcycle after Tommy station,mapped
assets/ren_ferris_wheel_closeup_latest.jpg,ren_ferris_wheel_closeup_latest.jpg,1672x941,405342,Ren Route.zip,033EFE05-E114-48E9-9B9B-0103196A2379.PNG,Ren ferris closeup,mapped
assets/ren_ferris_wheel_close_new.jpg,ren_ferris_wheel_close_new.jpg,1672x941,624900,Ren Route.zip,221262FB-127E-4840-B766-033D88D19CB3.PNG,Ren ferris wheel couple,mapped
assets/ren_cherry_blossom_kiss_new.jpg,ren_cherry_blossom_kiss_new.jpg,1672x941,490977,Ren Route.zip,CDD93F58-5063-454F-A153-876138FCA3AB.PNG,Ren cherry blossom kiss new,mapped
assets/ren_cherry_blossom_kiss.jpg,ren_cherry_blossom_kiss.jpg,1672x941,500123,Ren Route.zip,EB329E0A-FACA-4C06-BCE1-A88F933E4968.PNG,Ren cherry blossom kiss,mapped
assets/ren_cherry_blossom_date_new.jpg,ren_cherry_blossom_date_new.jpg,1672x941,605508,Ren Route.zip,D499DBD4-5F72-4B79-A94B-4CF9F71A2474.PNG,Ren cherry blossom date,mapped
assets/ren_festival_solo_invite.jpg,ren_festival_solo_invite.jpg,1536x864,342945,Ren Route.zip,B41F6283-E4A6-46F8-9E29-C73EBE0E14B5.PNG,Ren solo invite / ferris alt,mapped
assets/ren_k_university_festival_girlfriend.jpg,ren_k_university_festival_girlfriend.jpg,1672x941,480183,Ren Route.zip,5B67009A-CFC7-4F26-B189-57A4F01E318F.PNG,K University festival girlfriend,mapped
assets/ren_sukiyaki_actual.jpg,ren_sukiyaki_actual.jpg,1672x941,459470,Ren Route.zip,53F774C6-FFAF-48C4-BF50-01DEB7CAFC08.PNG,Ren sukiyaki actual,mapped
assets/ren_sukiyaki_dinner.jpg,ren_sukiyaki_dinner.jpg,1672x941,459470,Ren Route.zip,53F774C6-FFAF-48C4-BF50-01DEB7CAFC08.PNG,Ren sukiyaki dinner,mapped
assets/ren_sukiyaki_dinner_latest.jpg,ren_sukiyaki_dinner_latest.jpg,1672x941,459470,Ren Route.zip,53F774C6-FFAF-48C4-BF50-01DEB7CAFC08.PNG,Ren sukiyaki dinner latest,mapped
assets/ren_serious_after_tommy_fight.jpg,ren_serious_after_tommy_fight.jpg,1672x941,331497,Ren Route.zip,817C800A-0148-457D-A538-B41C296B3C42.PNG,Ren serious doorway after Tommy,mapped
