target_asset,source_zip,source_filename,dimensions,note,status
assets/route_start_ren.jpg,Route Starts.zip,528E25DD-0B3F-4303-B89B-5B274D5141F7.PNG,1672x941,Ren route start / doctor hallway,mapped
assets/route_start_harrison.jpg,Route Starts.zip,6BEF62ED-7B54-413F-9EE4-5370BE9F142F.PNG,1672x941,Harrison route start,mapped
assets/route_start_kenji.jpg,Route Starts.zip,7ED30687-FF4F-4695-88FE-6BA6E69F652E.PNG,1672x941,Kenji route start,mapped
assets/route_start_tommy.jpg,Route Starts.zip,B90CBCE3-4134-4E3E-92F3-8794029E5334.PNG,1672x941,Tommy route start / Osaka Castle,mapped
assets/route_start_hiroshi.jpg,Route Starts.zip,D00879FA-A7A2-48F3-A434-9C1DC9ECA34E.PNG,1672x941,Hiroshi route start,mapped
assets/route_start_marcus.jpg,Route Starts.zip,D1F0BC3D-9890-4311-BA16-1B49470D21C5.PNG,1672x941,Marcus route start,mapped
assets/ren_doctor_hallway.jpg,Route Starts.zip,528E25DD-0B3F-4303-B89B-5B274D5141F7.PNG,1672x941,Ren doctor hallway replacement used for Ren intro/date portrait,mapped
assets/ren_motorcycle_pickup_kyoto.jpg,Ren Route.zip,259C29F2-BAC3-4A55-B539-B32C76D697B4.PNG,1672x941,Ren motorcycle pickup,mapped
assets/ren_after_tommy_fight_motorcycle.jpg,Ren Route.zip,AE93FCAD-5BB0-43AD-A2DD-CD8A95028918.PNG,1672x941,Ren after Tommy station motorcycle,mapped
assets/ren_motorcycle_after_tommy_station.jpg,Ren Route.zip,AE93FCAD-5BB0-43AD-A2DD-CD8A95028918.PNG,1672x941,Ren motorcycle after Tommy station,mapped
assets/ren_ferris_wheel_closeup_latest.jpg,Ren Route.zip,033EFE05-E114-48E9-9B9B-0103196A2379.PNG,1672x941,Ren ferris closeup,mapped
assets/ren_ferris_wheel_close_new.jpg,Ren Route.zip,221262FB-127E-4840-B766-033D88D19CB3.PNG,1672x941,Ren ferris wheel couple,mapped
assets/ren_cherry_blossom_kiss_new.jpg,Ren Route.zip,CDD93F58-5063-454F-A153-876138FCA3AB.PNG,1672x941,Ren cherry blossom kiss new,mapped
assets/ren_cherry_blossom_kiss.jpg,Ren Route.zip,EB329E0A-FACA-4C06-BCE1-A88F933E4968.PNG,1672x941,Ren cherry blossom kiss,mapped
assets/ren_cherry_blossom_date_new.jpg,Ren Route.zip,D499DBD4-5F72-4B79-A94B-4CF9F71A2474.PNG,1672x941,Ren cherry blossom date,mapped
assets/ren_festival_solo_invite.jpg,Ren Route.zip,B41F6283-E4A6-46F8-9E29-C73EBE0E14B5.PNG,1536x864,Ren solo invite / ferris alt,mapped
assets/ren_k_university_festival_girlfriend.jpg,Ren Route.zip,5B67009A-CFC7-4F26-B189-57A4F01E318F.PNG,1672x941,K University festival girlfriend,mapped
assets/ren_sukiyaki_actual.jpg,Ren Route.zip,53F774C6-FFAF-48C4-BF50-01DEB7CAFC08.PNG,1672x941,Ren sukiyaki actual,mapped
assets/ren_sukiyaki_dinner.jpg,Ren Route.zip,53F774C6-FFAF-48C4-BF50-01DEB7CAFC08.PNG,1672x941,Ren sukiyaki dinner,mapped
assets/ren_sukiyaki_dinner_latest.jpg,Ren Route.zip,53F774C6-FFAF-48C4-BF50-01DEB7CAFC08.PNG,1672x941,Ren sukiyaki dinner latest,mapped
assets/ren_serious_after_tommy_fight.jpg,Ren Route.zip,817C800A-0148-457D-A538-B41C296B3C42.PNG,1672x941,Ren serious doorway after Tommy,mapped
assets/ren_apartment_exterior_night.jpg,Ren Route.zip,817C800A-0148-457D-A538-B41C296B3C42.PNG,1672x941,Ren doorway/apartment night,mapped
assets/ren_cherry_blossom_date_alt.jpg,Ren Route.zip,827B5C2E-F419-4D70-AC9F-C006390E61BF.PNG,1672x941,Ren cherry date alternate/raw extra,mapped
assets/tommy_parents_sukiyaki_actual.jpg,Ren Route.zip,DF6AE7BD-3C40-4324-A15A-3ED45B40B62F.PNG,1672x941,Tommy parents sukiyaki actual,mapped
assets/tommy_family_sukiyaki_pov.jpg,Ren Route.zip,DF6AE7BD-3C40-4324-A15A-3ED45B40B62F.PNG,1672x941,Tommy family sukiyaki POV,mapped
assets/tommy_family_sukiyaki_wide_latest.jpg,Ren Route.zip,DF6AE7BD-3C40-4324-A15A-3ED45B40B62F.PNG,1672x941,Tommy family sukiyaki wide,mapped
assets/tommy_family_dinner_pov_latest.jpg,Ren Route.zip,DF6AE7BD-3C40-4324-A15A-3ED45B40B62F.PNG,1672x941,Tommy family dinner POV,mapped
assets/new_uploads__ren_route_0048c428-f74c-4660-8833-34dcb7651e2e.jpg,Ren Route.zip,0048C428-F74C-4660-8833-34DCB7651E2E.PNG,1672x941,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_221262fb-127e-4840-b766-033d88d19cb3_2.jpg,Ren Route.zip,221262FB-127E-4840-B766-033D88D19CB3 2.PNG,1672x941,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_528e25dd-0b3f-4303-b89b-5b274d5141f7.jpg,Ren Route.zip,528E25DD-0B3F-4303-B89B-5B274D5141F7.PNG,1672x941,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
assets/new_uploads__ren_route_9dcb7ed5-217a-487b-b10c-380b4d649f43.jpg,Ren Route.zip,9DCB7ED5-217A-487B-B10C-380B4D649F43.PNG,1672x941,Extra updated Ren Route image included but not directly remapped by existing target key,included_extra
